GPS Time,Device Time,Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),AccX,AccY,AccZ,Actual engine % torque(%),Air Fuel Ratio,Ambient air temp(°C),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average) ,CO₂ in g/km (Instantaneous),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM,Fuel used (trip)(gal),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Distance(km)
Sun Aug 29 15:03:04 CST 2021,29-Aug.-2021 15:03:03.152,-104.53245186,50.44740812,12.52,4.07051,557.8955078125,93.7,-0.84885383,-0.10408778,9.43400192,0.00695209,32.54901886,-0.13958131,0.13104422,0.05857047,-0,-0,39,13.63354778,414.02111816,449.98361206,88,94.90196228,67.84313965,1933,0.03463016,50.44740677,-104.53245544,14,57,12.90835857,-0,45.0719986,45,32.54901886,-0,0.48434749
Sun Aug 29 15:03:05 CST 2021,29-Aug.-2021 15:03:03.614,-104.53227046,50.44741121,13.24,4.0698557,558.0632324219,86,-0.35204405,-0.14835501,10.11147022,0.00083058,33.33333206,-0.03759366,0.16619872,0.04686254,-0,-0,39,13.63354778,414.02111816,449.98361206,88,93.72549438,67.84313965,1933,0.03463016,50.44741058,-104.53227234,14,57,12.90835857,-0,47.66399765,45,32.94117737,-0,0.48434749
Sun Aug 29 15:03:05 CST 2021,29-Aug.-2021 15:03:04.114,-104.53227046,50.44741121,13.24,4.0698557,558.0632324219,86,0.61286169,-0.38434714,9.47228718,-0.00883056,33.33333206,0.03003224,0.14348398,0.0043905,-0,-0,39,13.63354778,415.15863037,447.00888062,88,93.72549438,67.84313965,2065,0.03520545,50.44741058,-104.53227234,14,57,13.05339622,-0,47.66399765,49,32.94117737,66.95063782,0.49684167
Sun Aug 29 15:03:06 CST 2021,29-Aug.-2021 15:03:04.612,-104.53207492,50.44741866,13.99,3.8881636,558.2641601563,86.2,0.20578274,-0.22013968,9.59073257,-0.0278192,33.33333206,-0.00597596,0.14851475,-0.02097685,-0,-0,39,13.63354778,415.15863037,447.00888062,88,95.29412079,67.84313965,2065,0.03520545,50.44741821,-104.53207397,14,57,13.05339622,-0,50.36399841,49,37.64706039,66.95063782,0.49684167
Sun Aug 29 15:03:06 CST 2021,29-Aug.-2021 15:03:05.113,-104.53207492,50.44741866,13.99,3.8881636,558.2641601563,86.2,0.31495529,0.26321051,9.68285561,-0.00434208,56.86274719,0.01536675,0.20485951,-0.02073294,-0,-0,39,13.63354778,416.4256897,453.17007446,88,95.29412079,74.90196228,2065,0.03578869,50.44741821,-104.53207397,14,57,13.48850918,-0,50.36399841,49,37.64706039,66.95063782,0.49684167
Sun Aug 29 15:03:07 CST 2021,29-Aug.-2021 15:03:05.615,-104.53186839,50.44742478,14.93,3.8414092,558.267578125,87.1,0.85363948,0.23210379,10.1832552,-0.01196954,56.86274719,-0.01963529,0.18839513,0.04283786,-0,-0,39,13.63354778,416.4256897,453.17007446,88,95.29412079,74.90196228,3333,0.03578869,50.44742584,-104.53186798,13,57,13.48850918,-0,53.7480011,53,37.64706039,45.34372711,0.51734084
Sun Aug 29 15:03:07 CST 2021,29-Aug.-2021 15:03:06.116,-104.53186839,50.44742478,14.93,3.8414092,558.267578125,87.1,0.08733802,0.44656053,10.05284595,0.00995274,56.86274719,0.03234945,0.21854934,0.01219585,-0,-0,38,13.63354778,416.4256897,453.17007446,88,100,74.90196228,3333,0.03578869,50.44742584,-104.53186798,13,57,13.48850918,-0,53.7480011,53,55.29411697,45.34372711,0.51734084
Sun Aug 29 15:03:08 CST 2021,29-Aug.-2021 15:03:06.613,-104.53164426,50.44742952,16.28,3.8237453,558.3520507813,88.3,0.20578274,0.33050862,9.50937653,-0.0230245,52.94117737,0.04015478,0.22842796,-0.03146522,-0,-0,38,13.63354778,424.33746338,661.69085693,88,100,73.72548676,3559,0.03694478,50.44742966,-104.53164673,13,57,13.19843388,-0,58.60800171,53,55.29411697,45.34372711,0.51734084
Sun Aug 29 15:03:08 CST 2021,29-Aug.-2021 15:03:07.111,-104.53164426,50.44742952,16.28,3.8237453,558.3520507813,88.3,0.40588254,0.3699902,10.14138031,0.00568616,46.66666794,-0.00987863,0.20867071,-0.01573261,-0,-0,38,13.63354778,430.69348145,627.7298584,88,99.21569061,71.76470947,3545,0.03744444,50.44742966,-104.53164673,13,57,13.05339622,-0,58.60800171,59,47.05882263,92.02063751,0.53468525
Sun Aug 29 15:03:09 CST 2021,29-Aug.-2021 15:03:07.612,-104.53140157,50.44743492,17.53,3.8403668,558.3393554688,88.2,0.0418744,-0.02991028,8.7912302,-0.01328872,43.13725662,-0.02146467,0.17900434,-0.04893574,-0,-0,38,13.63354778,435.9682312,604.76019287,88,96.86274719,71.37255096,3545,0.03793446,50.44743347,-104.53140259,11,57,13.05339622,-0,63.10800171,61,43.13725662,92.02063751,0.54433525
